순번,상태,험프관리번호,고가,유형,구경찰서코드,구코드,신경찰서코드,작업구분,표출구분,도로구분,관할사업소,신규정규화ID,설치일,교체일,이력ID,공사관리번호,험프관리번호,공사형태,위도,경도
6069,1,16-0000006853,1,2,220,590,220,1,2,2,105,'','','',7148,2000-0000-000,16-006853,'',37.6664091,127.0797557
5391,1,16-0000007888,1,1,380,590,220,3,2,2,105,'','','',11103,1,16-007888,1,37.4982813,126.919229
5392,1,16-0000007889,1,1,380,590,220,3,2,2,105,'','','',11104,5,16-007889,5,37.4982614,126.9195211
6079,1,16-0000004246,1,2,380,590,220,1,2,2,105,'','','',6421,2000-0000-000,16-004246,'',37.4849531,126.9675826
6422,1,16-0000005627,1,2,380,590,220,1,2,2,105,'','','',7010,2004-0508-013,16-005627,1,37.6237309,127.089701
6426,1,16-0000006758,1,1,220,590,220,1,2,2,105,'','','',6909,5,16-006758,5,37.5220598,127.13747
9413,1,16-0000002970,1,1,220,590,220,1,2,2,105,'','','',11989,2006-1108-042,16-002970,1,37.5810709,126.9043029
9422,1,16-0000002967,1,1,220,590,220,1,2,2,105,'','','',11994,2006-1108-042,16-002967,1,37.6197792,126.9332695
9449,1,16-0000007876,1,1,220,590,220,1,2,2,105,'','','',9945,5,16-007876,5,37.5626423,127.0543913
9450,1,16-0000007878,1,1,220,590,220,3,2,2,105,'','','',9947,5,16-007878,5,37.5626439,127.0542512
9229,1,16-0000007872,1,2,220,590,220,3,2,2,105,'','','',9941,5,16-007872,5,37.4992389,126.9128984
9230,1,16-0000007874,1,1,220,590,220,3,2,2,105,'','','',9943,5,16-007874,5,37.5671811,127.1711226
9231,1,16-0000007875,1,1,220,590,220,3,2,2,105,'','','',9944,5,16-007875,5,37.5659565,127.1721173
9242,1,16-0000007868,1,1,380,590,220,3,2,2,105,'','','',9937,5,16-007868,5,37.4992477,126.9142465
9246,1,16-0000008389,1,2,220,590,220,1,2,2,105,'','','',10944,2000-0000-000,16-008389,'',37.4960713,126.9283697
9254,1,16-0000008369,1,2,220,590,220,1,2,2,105,'','','',11711,4,16-008369,4,37.5244718,126.8388441
9259,1,16-0000005301,1,2,220,590,220,1,2,2,105,'','','',11401,2000-0000-000,16-005301,'',37.4768421,126.8996347
9270,1,16-0000002949,1,1,220,590,220,1,2,2,105,'','','',10330,2000-0000-000,16-002949,'',37.4971467,126.8287282
9279,1,16-0000007871,1,1,380,590,220,3,2,2,105,'','','',9940,5,16-007871,5,37.4995715,126.9131342
9244,1,16-0000006060,1,2,220,590,220,1,2,2,105,'','','',11990,2006-1108-042,16-006060,1,37.5948107,127.0763858
9253,1,16-0000008381,1,2,220,590,220,1,2,2,105,'','','',11710,4,16-008381,4,37.5149681,127.0519625
9269,1,16-0000006011,1,2,220,590,220,1,2,2,105,'','','',10329,2005-0108-160,16-006011,1,37.4974159,126.8286633
9307,1,16-0000002240,1,1,220,590,220,1,2,2,105,'','','',11987,2000-0000-000,16-002240,'',37.5232714,127.0455577
9355,1,16-0000007873,1,1,220,590,220,3,2,2,105,'','','',9942,1,16-007873,1,37.5651187,127.1734318
9416,1,16-0000007877,1,1,220,590,220,1,2,2,105,'','','',9946,5,16-007877,5,37.5627864,127.0541998
8432,1,16-0000011335,1,1,220,590,220,1,2,'',105,3135841,'','',16536,'',16-011335,1,37.4860842,127.0987903
8433,1,16-0000002955,1,1,220,590,220,1,2,2,105,'','','',1406,2000-0000-000,16-002955,'',37.5151605,127.0319295
8452,1,16-0000008273,1,1,220,590,220,1,2,2,105,'','','',6261,10,16-008273,10,37.5044425,126.9429269
8460,1,16-0000002952,1,1,220,590,220,1,2,2,105,'','','',3689,2000-0000-000,16-002952,'',37.4896402,127.1051328
