순번,상태,험프관리번호,고가,유형,구경찰서코드,구코드,신경찰서코드,작업구분,표출구분,도로구분,관할사업소,신규정규화ID,설치일,교체일,이력ID,공사관리번호,험프관리번호.1,공사형태,위도,경도,UTM-K_위도변환,UTM-K_경도변환
7732,1,16-0000006874,1,1,220,590,220,1,2,2,105,'','','',8112,4,16-006874,4,37.58249,126.949301,553660.7166,195521.8546
5427,1,16-0000006864,1,1,220,590,220,1,2,2,105,'','','',6480,4,16-006864,4,37.6259515,127.0781481,558486.1289,206898.6573
5428,1,16-0000006866,1,2,220,590,220,1,2,2,105,'','','',6482,2000-0000-000,16-006866,'',37.5063872,126.8558902,545222.7766,187258.1089
6478,1,16-0000006870,1,1,220,590,220,1,2,2,105,'','','',9272,5,16-006870,5,37.4775564,126.9514298,542014.2875,195703.8732
5461,1,16-0000008392,1,2,220,590,220,1,2,2,105,'','','',10947,2000-0000-000,16-008392,'',37.6444607,126.9303292,560539.8684,193851.2163
5793,1,16-0000011161,1,2,220,590,220,1,2,'',105,3146683,'','',16362,'',16-011161,1,37.5887278,127.0256809,554352.1433,202268.1553
6501,1,16-0000006265,1,2,220,590,220,1,2,2,105,'','','',9217,2006-1108-218,16-006265,1,37.5079325,126.8818175,545391.0904,189550.7636
6516,1,16-0000009109,1,2,220,590,220,1,2,1,105,'','','',9742,2000-0000-000,16-009109,'',37.565816,127.0226886,551809.1291,202004.4873
6526,1,16-0000005198,1,2,220,590,220,1,2,2,105,'','','',10508,2000-0000-000,16-005198,'',37.553298,127.0302628,550419.9678,202674.0984
5460,1,16-0000008367,1,2,220,590,220,1,2,2,105,'','','',11713,4,16-008367,4,37.4954254,126.9293579,543998.7465,193753.0595
